Cycle,MSE,Avg,Min,Max,Discrepancy
80000,1.544775,50.02,48.00,53.00,5.00
82000,1.514975,50.01,48.00,53.00,5.00
84000,1.484975,50.01,48.00,53.00,5.00
86000,1.430000,50.00,48.00,53.00,5.00
88000,1.354775,50.02,48.00,53.00,5.00
90000,1.310000,50.00,49.00,53.00,4.00
92000,1.294775,50.02,49.00,53.00,4.00
94000,1.200000,50.00,49.00,53.00,4.00
96000,1.184975,50.01,49.00,53.00,4.00
98000,1.169900,50.01,49.00,53.00,4.00
100000,1.129900,50.01,49.00,53.00,4.00
102000,1.104775,50.02,49.00,53.00,4.00
104000,1.039900,50.01,49.00,53.00,4.00
106000,1.014975,50.01,49.00,53.00,4.00
108000,0.999900,50.01,49.00,53.00,4.00
110000,0.964975,50.01,49.00,53.00,4.00
112000,0.919600,50.02,49.00,53.00,4.00
114000,0.894975,50.01,49.00,53.00,4.00
116000,0.879900,50.01,49.00,53.00,4.00
118000,0.830000,50.00,49.00,53.00,4.00
120000,0.814975,50.01,49.00,53.00,4.00
122000,0.784775,50.02,49.00,53.00,4.00
124000,0.729900,50.01,49.00,53.00,4.00
126000,0.669900,50.01,49.00,53.00,4.00
128000,0.644975,50.01,49.00,53.00,4.00
130000,0.624975,50.01,49.00,53.00,4.00
132000,0.609900,50.01,49.00,53.00,4.00
134000,0.604775,50.02,49.00,53.00,4.00
136000,0.549900,50.01,49.00,53.00,4.00
138000,0.514975,50.01,49.00,53.00,4.00
140000,0.489900,50.01,49.00,53.00,4.00
142000,0.479900,50.01,49.00,53.00,4.00
144000,0.430000,50.00,49.00,53.00,4.00
146000,0.409900,50.01,49.00,53.00,4.00
148000,0.394975,50.01,49.00,53.00,4.00
150000,0.384975,50.01,49.00,53.00,4.00
152000,0.380000,50.00,49.00,53.00,4.00
154000,0.324975,50.01,49.00,52.00,3.00
156000,0.290000,50.00,49.00,52.00,3.00
158000,0.274975,50.01,49.00,52.00,3.00
160000,0.264975,50.01,49.00,52.00,3.00
162000,0.240000,50.00,49.00,52.00,3.00
164000,0.219900,50.01,49.00,52.00,3.00
166000,0.199900,50.01,49.00,52.00,3.00
168000,0.174975,50.01,49.00,52.00,3.00
170000,0.144975,50.01,49.00,52.00,3.00
172000,0.114975,50.01,49.00,52.00,3.00
174000,0.110000,50.00,49.00,52.00,3.00
176000,0.100000,50.00,49.00,52.00,3.00
178000,0.090000,50.00,49.00,52.00,3.00
180000,0.080000,50.00,49.00,52.00,3.00
182000,0.064975,50.01,49.00,52.00,3.00
184000,0.054975,50.01,49.00,52.00,3.00
