Cycle,MSE,Avg,Min,Max,Discrepancy
262000,0.040000,50.00,49.00,51.00,1.00
264000,0.040000,50.00,49.00,51.00,1.00
266000,0.040000,50.00,49.00,51.00,1.00
268000,0.040000,50.00,49.00,51.00,1.00
270000,0.040000,50.00,49.00,51.00,1.00
272000,0.040000,50.00,49.00,51.00,1.00
274000,0.040000,50.00,49.00,51.00,1.00
276000,0.040000,50.00,49.00,51.00,1.00
278000,0.040000,50.00,49.00,51.00,1.00
280000,0.040000,50.00,49.00,51.00,1.00
282000,0.040000,50.00,49.00,51.00,1.00
284000,0.040000,50.00,49.00,51.00,1.00
286000,0.040000,50.00,49.00,51.00,1.00
288000,0.040000,50.00,49.00,51.00,1.00
290000,0.040000,50.00,49.00,51.00,1.00
292000,0.040000,50.00,49.00,51.00,1.00
294000,0.040000,50.00,49.00,51.00,1.00
296000,0.040000,50.00,49.00,51.00,1.00
298000,0.040000,50.00,49.00,51.00,1.00
300000,0.040000,50.00,49.00,51.00,1.00
302000,0.040000,50.00,49.00,51.00,1.00
304000,0.040000,50.00,49.00,51.00,1.00
306000,0.040000,50.00,49.00,51.00,1.00
308000,0.040000,50.00,49.00,51.00,1.00
310000,0.040000,50.00,49.00,51.00,1.00
312000,0.040000,50.00,49.00,51.00,1.00
314000,0.040000,50.00,49.00,51.00,1.00
316000,0.040000,50.00,49.00,51.00,1.00
318000,0.040000,50.00,49.00,51.00,1.00
320000,0.040000,50.00,49.00,51.00,1.00
322000,0.040000,50.00,49.00,51.00,1.00
324000,0.040000,50.00,49.00,51.00,1.00
326000,0.040000,50.00,49.00,51.00,1.00
328000,0.040000,50.00,49.00,51.00,1.00
330000,0.040000,50.00,49.00,51.00,1.00
332000,0.040000,50.00,49.00,51.00,1.00
334000,0.040000,50.00,49.00,51.00,1.00
336000,0.040000,50.00,49.00,51.00,1.00
338000,0.040000,50.00,49.00,51.00,1.00
340000,0.040000,50.00,49.00,51.00,1.00
342000,0.040000,50.00,49.00,51.00,1.00
344000,0.040000,50.00,49.00,51.00,1.00
346000,0.040000,50.00,49.00,51.00,1.00
348000,0.040000,50.00,49.00,51.00,1.00
350000,0.040000,50.00,49.00,51.00,1.00
352000,0.040000,50.00,49.00,51.00,1.00
354000,0.040000,50.00,49.00,51.00,1.00
356000,0.040000,50.00,49.00,51.00,1.00
358000,0.040000,50.00,49.00,51.00,1.00
360000,0.040000,50.00,49.00,51.00,1.00
362000,0.040000,50.00,49.00,51.00,1.00
364000,0.040000,50.00,49.00,51.00,1.00
366000,0.040000,50.00,49.00,51.00,1.00
368000,0.040000,50.00,49.00,51.00,1.00
370000,0.040000,50.00,49.00,51.00,1.00
372000,0.040000,50.00,49.00,51.00,1.00
374000,0.040000,50.00,49.00,51.00,1.00
376000,0.040000,50.00,49.00,51.00,1.00
378000,0.040000,50.00,49.00,51.00,1.00
380000,0.040000,50.00,49.00,51.00,1.00
382000,0.040000,50.00,49.00,51.00,1.00
384000,0.040000,50.00,49.00,51.00,1.00
386000,0.040000,50.00,49.00,51.00,1.00
388000,0.040000,50.00,49.00,51.00,1.00
390000,0.040000,50.00,49.00,51.00,1.00
392000,0.040000,50.00,49.00,51.00,1.00
394000,0.040000,50.00,49.00,51.00,1.00
396000,0.040000,50.00,49.00,51.00,1.00
398000,0.040000,50.00,49.00,51.00,1.00
400000,0.040000,50.00,49.00,51.00,1.00
402000,0.040000,50.00,49.00,51.00,1.00
404000,0.040000,50.00,49.00,51.00,1.00
406000,0.040000,50.00,49.00,51.00,1.00
408000,0.040000,50.00,49.00,51.00,1.00
410000,0.040000,50.00,49.00,51.00,1.00
412000,0.040000,50.00,49.00,51.00,1.00
414000,0.040000,50.00,49.00,51.00,1.00
416000,0.040000,50.00,49.00,51.00,1.00
418000,0.040000,50.00,49.00,51.00,1.00
420000,0.040000,50.00,49.00,51.00,1.00
422000,0.040000,50.00,49.00,51.00,1.00
424000,0.040000,50.00,49.00,51.00,1.00
426000,0.040000,50.00,49.00,51.00,1.00
428000,0.040000,50.00,49.00,51.00,1.00
430000,0.040000,50.00,49.00,51.00,1.00
432000,0.040000,50.00,49.00,51.00,1.00
434000,0.040000,50.00,49.00,51.00,1.00
436000,0.040000,50.00,49.00,51.00,1.00
438000,0.040000,50.00,49.00,51.00,1.00
440000,0.040000,50.00,49.00,51.00,1.00
442000,0.040000,50.00,49.00,51.00,1.00
444000,0.040000,50.00,49.00,51.00,1.00
446000,0.040000,50.00,49.00,51.00,1.00
448000,0.040000,50.00,49.00,51.00,1.00
450000,0.040000,50.00,49.00,51.00,1.00
452000,0.040000,50.00,49.00,51.00,1.00
454000,0.040000,50.00,49.00,51.00,1.00
456000,0.040000,50.00,49.00,51.00,1.00
458000,0.040000,50.00,49.00,51.00,1.00
460000,0.040000,50.00,49.00,51.00,1.00
462000,0.040000,50.00,49.00,51.00,1.00
464000,0.040000,50.00,49.00,51.00,1.00
466000,0.040000,50.00,49.00,51.00,1.00
468000,0.040000,50.00,49.00,51.00,1.00
470000,0.040000,50.00,49.00,51.00,1.00
472000,0.040000,50.00,49.00,51.00,1.00
474000,0.040000,50.00,49.00,51.00,1.00
476000,0.040000,50.00,49.00,51.00,1.00
478000,0.040000,50.00,49.00,51.00,1.00
480000,0.040000,50.00,49.00,51.00,1.00
482000,0.040000,50.00,49.00,51.00,1.00
