Cycle,MSE,Avg,Min,Max,Discrepancy
522000,0.760000,50.00,49.00,51.00,1.00
524000,0.760000,50.00,49.00,51.00,1.00
526000,0.760000,50.00,49.00,51.00,1.00
528000,0.760000,50.00,49.00,51.00,1.00
530000,0.760000,50.00,49.00,51.00,1.00
532000,0.760000,50.00,49.00,51.00,1.00
534000,0.760000,50.00,49.00,51.00,1.00
536000,0.760000,50.00,49.00,51.00,1.00
538000,0.760000,50.00,49.00,51.00,1.00
540000,0.760000,50.00,49.00,51.00,1.00
542000,0.760000,50.00,49.00,51.00,1.00
544000,0.760000,50.00,49.00,51.00,1.00
546000,0.760000,50.00,49.00,51.00,1.00
548000,0.760000,50.00,49.00,51.00,1.00
550000,0.760000,50.00,49.00,51.00,1.00
552000,0.760000,50.00,49.00,51.00,1.00
554000,0.760000,50.00,49.00,51.00,1.00
556000,0.760000,50.00,49.00,51.00,1.00
558000,0.760000,50.00,49.00,51.00,1.00
560000,0.760000,50.00,49.00,51.00,1.00
562000,0.760000,50.00,49.00,51.00,1.00
564000,0.760000,50.00,49.00,51.00,1.00
566000,0.760000,50.00,49.00,51.00,1.00
568000,0.760000,50.00,49.00,51.00,1.00
570000,0.760000,50.00,49.00,51.00,1.00
572000,0.760000,50.00,49.00,51.00,1.00
574000,0.760000,50.00,49.00,51.00,1.00
576000,0.760000,50.00,49.00,51.00,1.00
578000,0.760000,50.00,49.00,51.00,1.00
580000,0.760000,50.00,49.00,51.00,1.00
582000,0.760000,50.00,49.00,51.00,1.00
584000,0.760000,50.00,49.00,51.00,1.00
586000,0.760000,50.00,49.00,51.00,1.00
588000,0.760000,50.00,49.00,51.00,1.00
590000,0.760000,50.00,49.00,51.00,1.00
592000,0.760000,50.00,49.00,51.00,1.00
594000,0.760000,50.00,49.00,51.00,1.00
596000,0.760000,50.00,49.00,51.00,1.00
598000,0.760000,50.00,49.00,51.00,1.00
600000,0.760000,50.00,49.00,51.00,1.00
602000,0.760000,50.00,49.00,51.00,1.00
604000,0.760000,50.00,49.00,51.00,1.00
606000,0.760000,50.00,49.00,51.00,1.00
608000,0.760000,50.00,49.00,51.00,1.00
610000,0.760000,50.00,49.00,51.00,1.00
612000,0.760000,50.00,49.00,51.00,1.00
614000,0.760000,50.00,49.00,51.00,1.00
616000,0.760000,50.00,49.00,51.00,1.00
618000,0.760000,50.00,49.00,51.00,1.00
620000,0.760000,50.00,49.00,51.00,1.00
622000,0.760000,50.00,49.00,51.00,1.00
624000,0.760000,50.00,49.00,51.00,1.00
626000,0.760000,50.00,49.00,51.00,1.00
628000,0.760000,50.00,49.00,51.00,1.00
630000,0.760000,50.00,49.00,51.00,1.00
632000,0.760000,50.00,49.00,51.00,1.00
634000,0.760000,50.00,49.00,51.00,1.00
636000,0.760000,50.00,49.00,51.00,1.00
638000,0.760000,50.00,49.00,51.00,1.00
640000,0.760000,50.00,49.00,51.00,1.00
642000,0.760000,50.00,49.00,51.00,1.00
644000,0.760000,50.00,49.00,51.00,1.00
646000,0.760000,50.00,49.00,51.00,1.00
648000,0.760000,50.00,49.00,51.00,1.00
650000,0.760000,50.00,49.00,51.00,1.00
652000,0.760000,50.00,49.00,51.00,1.00
654000,0.760000,50.00,49.00,51.00,1.00
656000,0.760000,50.00,49.00,51.00,1.00
658000,0.760000,50.00,49.00,51.00,1.00
660000,0.760000,50.00,49.00,51.00,1.00
662000,0.760000,50.00,49.00,51.00,1.00
664000,0.760000,50.00,49.00,51.00,1.00
666000,0.760000,50.00,49.00,51.00,1.00
668000,0.760000,50.00,49.00,51.00,1.00
670000,0.760000,50.00,49.00,51.00,1.00
672000,0.760000,50.00,49.00,51.00,1.00
674000,0.760000,50.00,49.00,51.00,1.00
676000,0.760000,50.00,49.00,51.00,1.00
678000,0.760000,50.00,49.00,51.00,1.00
680000,0.760000,50.00,49.00,51.00,1.00
682000,0.760000,50.00,49.00,51.00,1.00
684000,0.760000,50.00,49.00,51.00,1.00
686000,0.760000,50.00,49.00,51.00,1.00
688000,0.760000,50.00,49.00,51.00,1.00
690000,0.760000,50.00,49.00,51.00,1.00
692000,0.760000,50.00,49.00,51.00,1.00
694000,0.760000,50.00,49.00,51.00,1.00
696000,0.760000,50.00,49.00,51.00,1.00
698000,0.760000,50.00,49.00,51.00,1.00
700000,0.760000,50.00,49.00,51.00,1.00
702000,0.760000,50.00,49.00,51.00,1.00
704000,0.760000,50.00,49.00,51.00,1.00
706000,0.760000,50.00,49.00,51.00,1.00
708000,0.760000,50.00,49.00,51.00,1.00
710000,0.760000,50.00,49.00,51.00,1.00
712000,0.760000,50.00,49.00,51.00,1.00
714000,0.760000,50.00,49.00,51.00,1.00
716000,0.760000,50.00,49.00,51.00,1.00
718000,0.760000,50.00,49.00,51.00,1.00
720000,0.760000,50.00,49.00,51.00,1.00
722000,0.760000,50.00,49.00,51.00,1.00
724000,0.760000,50.00,49.00,51.00,1.00
726000,0.760000,50.00,49.00,51.00,1.00
728000,0.760000,50.00,49.00,51.00,1.00
730000,0.760000,50.00,49.00,51.00,1.00
732000,0.760000,50.00,49.00,51.00,1.00
734000,0.760000,50.00,49.00,51.00,1.00
736000,0.760000,50.00,49.00,51.00,1.00
738000,0.760000,50.00,49.00,51.00,1.00
740000,0.760000,50.00,49.00,51.00,1.00
742000,0.760000,50.00,49.00,51.00,1.00
744000,0.760000,50.00,49.00,51.00,1.00
746000,0.760000,50.00,49.00,51.00,1.00
748000,0.760000,50.00,49.00,51.00,1.00
750000,0.760000,50.00,49.00,51.00,1.00
752000,0.760000,50.00,49.00,51.00,1.00
754000,0.760000,50.00,49.00,51.00,1.00
756000,0.760000,50.00,49.00,51.00,1.00
758000,0.760000,50.00,49.00,51.00,1.00
760000,0.760000,50.00,49.00,51.00,1.00
762000,0.760000,50.00,49.00,51.00,1.00
764000,0.760000,50.00,49.00,51.00,1.00
766000,0.760000,50.00,49.00,51.00,1.00
768000,0.760000,50.00,49.00,51.00,1.00
770000,0.760000,50.00,49.00,51.00,1.00
772000,0.760000,50.00,49.00,51.00,1.00
774000,0.760000,50.00,49.00,51.00,1.00
776000,0.760000,50.00,49.00,51.00,1.00
778000,0.760000,50.00,49.00,51.00,1.00
780000,0.760000,50.00,49.00,51.00,1.00
782000,0.760000,50.00,49.00,51.00,1.00
784000,0.760000,50.00,49.00,51.00,1.00
786000,0.760000,50.00,49.00,51.00,1.00
788000,0.760000,50.00,49.00,51.00,1.00
790000,0.760000,50.00,49.00,51.00,1.00
